"SYMBOL 
","underlying asset
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
INTERNET,Equity Index,13.78,16.12,13.48,13.51,14.97,-,1.46,10.81,"1,47,799",0.22,13.5,16.12,13.31,-,-,-,-
AXISGOLD,Gold,80.65,81.7,80.65,80.47,81.48,-,1.01,1.26,"3,92,839",3.19,80.47,85.88,58.2,0.35,10-Jul-24,31.27,10-Jun-25
GOLD1,Gold,80.7,81.5,80.7,80.55,81.4,-,0.85,1.06,"12,02,724",9.79,80.48,85.84,58.25,0.44,10-Jul-24,31.24,10-Jun-25
GOLD360,Commodity-Gold,96.5,96.5,95.6,95,96,-,1,1.05,"63,464",0.61,94.78,113.1,78.2,0.58,-,-,10-Jun-25
SETFGOLD,Gold,83.75,83.75,82.49,82.49,83.32,-,0.83,1.01,"22,02,539",18.33,82.33,97,58.65,0.25,10-Jul-24,31.12,10-Jun-25
IVZINGOLD,Gold,"8,451.70","8,489.00","8,451.70","8,399.70","8,480.00",-,80.3,0.96,184,0.16,"8,391.50","8,941.15","6,060.25",0.06,10-Jul-24,31.51,10-Jun-25
GOLDBEES,Gold,80.33,80.82,80.33,80.03,80.79,-,0.76,0.95,"82,28,993",66.36,79.91,85,57.85,0.12,10-Jul-24,31.15,10-Jun-25
HDFCGOLD,Gold,83.63,83.63,82.87,82.6,83.38,-,0.78,0.94,"18,13,083",15.09,82.41,87.91,59.57,0.23,10-Jul-24,30.92,10-Jun-25
QGOLDHALF,Gold,80,81.05,80,79.85,80.6,-,0.75,0.94,"18,759",0.15,79.84,83.99,57.6,0.15,10-Jul-24,31.46,10-Jun-25
LICMFGOLD,Gold,"8,809.85","8,845.05","8,756.65","8,733.70","8,815.00",-,81.3,0.93,"4,030",3.56,-,"9,200.00","6,266.00",0.62,10-Jul-24,32.44,10-Jun-25
GOLDETFADD,DSP Gold ETF,94.15,94.8,94.14,93.94,94.8,-,0.86,0.92,"3,61,191",3.41,93.68,100,66.9,0.19,10-Jul-24,31.1,10-Jun-25
UNIONGOLD,Commodity Gold,95.7,95.9,95.7,95.05,95.9,-,0.85,0.89,369,-,94.78,100,82,0.52,-,-,10-Jun-25
GOLDIETF,ICICI PRUDENTIAL GOLD ETF,83.85,84.7,82.9,82.64,83.37,-,0.73,0.88,"16,07,756",13.4,82.5,88.51,59,0.19,10-Jul-24,31.31,10-Jun-25
GOLDSHARE,Gold,81.25,81.9,79.1,81.1,81.8,-,0.7,0.86,"3,32,717",2.72,80.94,86.3,58.55,0.31,10-Jul-24,31.72,10-Jun-25
TATAGOLD,Tata Gold Exchange Traded Fund,9.63,9.63,9.35,9.4,9.48,-,0.08,0.85,"65,60,479",6.21,9.37,10.5,6.81,0.21,10-Jul-24,31.3,10-Jun-25
BBNPPGOLD,Baroda BNP Paribas Gold ETF,94.35,94.7,94.35,93.9,94.7,-,0.8,0.85,287,-,93.69,107,67.1,-0.11,10-Jul-24,31.16,10-Jun-25
GROWWGOLD,Commodity,94.81,95.75,94.81,94.81,95.61,-,0.8,0.84,"70,449",0.67,94.69,101.02,73,0.19,-,-,10-Jun-25
EGOLD,Edelweiss Gold ETF,97.45,97.8,95,97,97.8,-,0.8,0.82,"1,50,585",1.47,96.64,103.35,69.7,0.26,10-Jul-24,30.92,10-Jun-25
MID150,Nifty Midcap 150 Index,21.93,22.21,21.93,21.92,22.1,-,0.18,0.82,"19,085",0.04,-,25.49,17.98,-0.63,-,-,10-Jun-25
BSLGOLDETF,Gold,85.06,85.85,85.06,84.86,85.54,-,0.68,0.8,"1,97,903",1.7,84.68,93.03,56.57,0.42,10-Jul-24,32.03,10-Jun-25
GOLDETF,Mirae Asset Gold ETF,94.42,94.99,94.4,94.08,94.8,-,0.72,0.77,"1,91,313",1.81,93.82,99.59,67.25,0.25,10-Jul-24,31.51,10-Jun-25
GOLDCASE,Zerodha Gold ETF,15.52,15.52,15.11,15.21,15.32,-,0.11,0.72,"12,05,715",1.85,15.18,16.26,10.75,0.26,10-Jul-24,31.22,10-Jun-25
METALIETF,Nifty Metal Index,9.63,9.63,9.38,9.4,9.45,-,0.05,0.53,"23,90,301",2.25,9.4,10.67,7.35,-0.53,-,-,10-Jun-25
MOREALTY,Motilal Oswal Nifty Realty ETF,96.92,97.9,96.67,96.84,97.35,-,0.51,0.53,"1,73,546",1.69,96.62,113.8,77,-4.94,10-Jul-24,-13.66,10-Jun-25
SELECTIPO,BSE Select IPO Index,49.44,49.93,48.94,49.15,49.38,-,0.23,0.47,"23,411",0.12,49.19,51.4,35.4,0.86,-,-,10-Jun-25
TOP100CASE,Zerodha Nifty 100 ETF,10.97,11.11,10.78,10.79,10.84,-,0.05,0.46,"4,42,058",0.48,10.83,12,8.01,1.12,10-Jul-24,3.25,10-Jun-25
METAL,Nifty Metal Total Return Index,9.54,9.55,9.38,9.42,9.46,-,0.04,0.42,"3,46,782",0.33,9.41,10.84,7.73,-0.74,-,-,10-Jun-25
ECAPINSURE,BSE Capital Markets & Insurance Total Return Index,24.21,24.21,23.62,23.62,23.72,-,0.1,0.42,"15,364",0.04,23.66,26.77,17.13,1.45,-,-,10-Jun-25
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,110.34,110.34,109.82,109.92,110.33,-,0.41,0.37,429,-,110.07,120,99.66,0.03,10-Jul-24,-1.3,10-Jun-25
MOTOUR,Nifty India Tourism Total Return Index,93.28,94.01,93.01,93.19,93.52,-,0.33,0.35,"1,890",0.02,93.35,94.01,85.82,-,-,-,-
MNC,Kotak Nifty MNC ETF,29.5,29.74,29.35,29.5,29.6,-,0.1,0.34,"61,194",0.18,29.56,33.48,24.52,1.06,10-Jul-24,-6.13,10-Jun-25
MON100,Nasdaq100,193.19,193.19,191.92,191.66,192.3,-,0.64,0.33,"4,11,808",7.92,191.3,221.7,142.11,5.42,10-Jul-24,14.02,10-Jun-25
TECH,Nifty IT TRI Index,41.87,41.87,40.55,41.12,41.25,-,0.13,0.32,"28,263",0.12,41.05,49.77,33.41,0.66,10-Jul-24,5.25,10-Jun-25
TATSILV,Tata Silver Exchange Traded Fund,10.75,10.75,10.45,10.5,10.53,-,0.03,0.29,"23,64,765",2.48,10.48,11.34,7,0.1,10-Jul-24,16.02,10-Jun-25
HDFCNIF100,HDFC NIFTY 100 ETF,26.88,27.08,26.65,26.75,26.82,-,0.07,0.26,"76,498",0.2,26.73,29.1,21.15,0.91,10-Jul-24,3.17,10-Jun-25
SILVER360,Commodity-Silver,106.33,106.99,106.33,106.69,106.94,-,0.25,0.23,"1,939",0.02,106.67,116.72,78.4,-0.05,-,-,10-Jun-25
SILVRETF,Mirae Asset Silver ETF,105.57,105.68,104.86,105.39,105.62,-,0.23,0.22,"10,66,348",11.23,105.35,108.71,78.4,-0.12,10-Jul-24,16.24,10-Jun-25
COMMOIETF,ICICI Prudential Nifty Commodities ETF,90.57,91.33,90.35,90.67,90.87,-,0.2,0.22,"22,057",0.2,90.79,101.33,75.61,2.13,10-Jul-24,-3.32,10-Jun-25
GROWWNET,Index,10.04,10.25,10,10.03,10.05,-,0.02,0.2,"7,01,439",0.71,10.02,11.5,9.8,-,-,-,-
MONEXT50,Nifty Next 50 Total Return Index,67.8,68.17,67.72,67.84,67.97,-,0.13,0.19,"1,351",0.01,68.01,69.67,63.54,-0.51,-,-,10-Jun-25
GROWWRAIL,Nifty India Railways PSU Index,38.46,38.8,38.36,38.4,38.47,-,0.07,0.18,"2,69,440",1.04,38.47,43.66,28.72,-4.12,-,-,10-Jun-25
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,103.54,103.93,103.13,103.59,103.78,-,0.19,0.18,"68,89,568",71.3,103.58,106.5,76.7,-0.15,10-Jul-24,15.62,10-Jun-25
AONETOTAL,Nifty Total Market Index,11.2,11.99,11.2,11.91,11.93,-,0.02,0.17,"3,88,531",0.46,11.9,12.29,9.63,0.76,-,-,10-Jun-25
GROWWSLVR,Commodity-Silver,106.98,107,106.01,106.72,106.9,-,0.18,0.17,"19,646",0.21,106.71,111.85,94.2,0.14,-,-,10-Jun-25
VAL30IETF,Nifty200 Value 30 Index,13.31,13.38,13.27,13.32,13.34,-,0.02,0.15,"24,582",0.03,13.3,14.14,10.93,0,-,-,10-Jun-25
UTIBANKETF,Nifty Bank,58.95,59.28,58.51,58.76,58.85,-,0.09,0.15,"14,93,325",8.79,58.84,60.4,48.71,0.67,10-Jul-24,9.67,10-Jun-25
GROWWEV,Nifty EV and New Age Automotive Index,29.48,29.48,29.14,29.26,29.3,-,0.04,0.14,"1,56,158",0.46,29.35,36.06,23,-1.45,-,-,10-Jun-25
HDFCBSE500,HDFC S&P BSE 500 ETF,37.59,39.18,37.52,37.58,37.63,-,0.05,0.13,"36,110",0.14,37.66,44.4,31.14,0.35,10-Jul-24,2.09,10-Jun-25
SILVER1,Kotak Silver ETF,104.74,105.44,104.5,104.74,104.87,-,0.13,0.12,"2,77,091",2.91,104.84,111,77.9,0.21,10-Jul-24,15.65,10-Jun-25
SILVERIETF,Domestic Price of Silver,107.75,108.04,107.3,107.75,107.87,-,0.12,0.11,"25,10,029",27.06,107.69,111.05,80.05,-0.02,10-Jul-24,15.76,10-Jun-25
SILVERADD,DSP Silver ETF,104.03,104.4,103.66,104.19,104.3,-,0.11,0.11,"1,82,373",1.9,104.09,115,77.2,-0.01,10-Jul-24,16.1,10-Jun-25
PVTBANKADD,DSP Nifty Private Bank ETF,28.42,28.61,28.26,28.5,28.53,-,0.03,0.11,"41,860",0.12,28.51,28.9,23.63,0.53,10-Jul-24,8.23,10-Jun-25
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,17.88,17.89,17.7,17.8,17.82,-,0.02,0.11,"7,35,553",1.31,17.8,19.3,13.22,1.37,10-Jul-24,0.91,10-Jun-25
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),106,106,104.39,104.79,104.9,-,0.11,0.1,"2,83,320",2.97,105.36,110.26,79.5,-0.08,10-Jul-24,13.32,10-Jun-25
MOINFRA,BSE India Infrastructure Total Return Index,61.21,61.21,60.52,60.75,60.81,-,0.06,0.1,"1,362",0.01,60.7,63.04,58.61,-1.59,-,-,10-Jun-25
SILVERCASE,Commodity-Silver,11.27,11.33,10.95,11,11.01,-,0.01,0.09,"4,16,041",0.46,15.18,11.74,9,0.18,-,-,10-Jun-25
NIF100BEES,Nifty 100 TRI,282.91,282.91,273.16,274.67,274.9,-,0.23,0.08,"12,904",0.35,274.83,289.98,220,0.99,10-Jul-24,2.7,10-Jun-25
NPBET,Nifty Private Bank Index,290.27,291.4,289.15,289.96,290.18,-,0.22,0.08,64,-,290.59,299,240.38,0.54,10-Jul-24,8.23,10-Jun-25
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index,258.06,258.99,258.06,258.06,258.25,-,0.19,0.07,"6,140",0.16,258.16,265.21,230,-0.02,10-Jul-24,11.25,10-Jun-25
EBBETF0433,BHARAT Bond ETF-April 2033,"1,249.00","1,250.23","1,247.50","1,247.68","1,248.50",-,0.82,0.07,"2,159",0.27,"1,247.12","1,288.86","1,116.00",-0.22,10-Jul-24,10.4,10-Jun-25
ESILVER,Edelweiss Silver ETF,108.3,108.5,107.8,108.44,108.5,-,0.06,0.06,"2,28,486",2.48,108.18,111,80.5,-0.44,10-Jul-24,16.13,10-Jun-25
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,62.75,62.75,62.61,62.62,62.65,-,0.03,0.05,"6,36,383",3.99,62.57,71,55.41,0.26,10-Jul-24,10.88,10-Jun-25
AXISILVER,Axis Silver ETF,107.72,108.22,107.02,107.72,107.77,-,0.05,0.05,"2,17,506",2.34,107.57,128.26,80,-0.03,10-Jul-24,16.51,10-Jun-25
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index,63.07,63.07,62.74,62.86,62.89,-,0.03,0.05,"4,473",0.03,62.78,66,56.01,0.4,10-Jul-24,10.57,10-Jun-25
HDFCMID150,HDFC NIFTY Midcap 150 ETF,21.49,22.71,21.07,22.05,22.06,-,0.01,0.05,"2,27,952",0.5,22.05,23.65,17.51,-0.32,10-Jul-24,2.71,10-Jun-25
EVIETF,Nifty EV & New Age Automotive ETF,29.64,29.64,28,29.44,29.45,-,0.01,0.03,"12,466",0.04,29.4,31.94,23.56,-1.64,-,-,10-Jun-25
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,111,112.67,109.4,109.39,109.42,-,0.03,0.03,"58,37,057",63.86,109.4,112.67,99.5,0.41,10-Jul-24,6.06,10-Jun-25
CASHIETF,BSE Liquid Rate Index,"1,018.42","1,018.44","1,018.42","1,018.28","1,018.44",-,0.16,0.02,"5,48,297",55.84,"1,018.29","1,034.60","1,001.47",0.41,-,-,10-Jun-25
MOCAPITAL,Nifty Capital Market Total Return Index,44.77,47.06,44.77,45.92,45.93,-,0.01,0.02,"2,68,590",1.23,45.9,51.13,29.2,-3.15,-,-,10-Jun-25
GROWWLIQID,Nifty 1D Rate Index,104.46,105,104.46,104.77,104.79,-,0.02,0.02,"65,261",0.68,104.78,106.98,98,0.39,-,-,10-Jun-25
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,"1,058.56","1,058.56","1,058.54","1,058.39","1,058.56",-,0.17,0.02,"3,21,076",33.99,"1,058.40","1,120.00",999.99,0.42,10-Jul-24,5.86,10-Jun-25
